source_ensemblID,source_gene_symbol,source_celltype,source_means,source_quality,source_Gene_Symbol_human,target_ensemblID,target_gene_symbol,target_celltype,target_means,target_quality,target_Gene_Symbol_human,source_log2FC,target_log2FC,source_nodes,target_nodes,pair,interaction_type,interaction_redundancy,source_influenced_genes,target_influenced_genes,source_influenced_celltypes,target_influenced_celltypes,source_influencer_celltypes,target_influencer_celltypes
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000013168,jag1b,FB,9.80891828343143,0.75,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag1b_FB,notch1b_jag1b,FB_FB,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000013168,jag1b,EC,8.604493802578041,1.0,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag1b_EC,notch1b_jag1b,FB_EC,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000013168,jag1b,CM+,6.748305779023651,0.8333333333333334,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag1b_CM+,notch1b_jag1b,FB_CM+,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000021389,jag2b,FB,7.0459104092807365,0.75,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag2b_FB,notch1b_jag2b,FB_FB,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000021389,jag2b,EC,9.764743078599682,1.0,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag2b_EC,notch1b_jag2b,FB_EC,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000021389,jag2b,CM+,6.393537681607174,0.75,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag2b_CM+,notch1b_jag2b,FB_CM+,"FB_FB, FB_EC, FB_CM+","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB, CM+"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000030289,jag1a,FB,8.015865155640432,1.0,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag1a_FB,notch1b_jag1a,FB_FB,"FB_FB, FB_EC","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000030289,jag1a,EC,5.675417471984766,0.75,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,jag1a_EC,notch1b_jag1a,FB_EC,"FB_FB, FB_EC","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000070425,dll4,FB,6.077104078385235,1.0,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,dll4_FB,notch1b_dll4,FB_FB,"FB_FB, FB_EC","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB"
ENSDARG00000052094,notch1b,FB,9.625014074709645,1.0,NOTCH1,ENSDARG00000070425,dll4,EC,12.524760230878975,1.0,"NOTCH4, JAG2",-1.44608393929068,0.0,notch1b_FB,dll4_EC,notch1b_dll4,FB_EC,"FB_FB, FB_EC","dlk2, dll4, dld, jag1b, adam17a, jag1a, adam17b, jag2b","notch1a, thbs2a, notch1b","EC, FB, CM+",FB,FB,"EC, FB"
